01/01/18,02/01/18
06/01/18,07/01/18
07/01/18,08/01/18
08/01/18,09/01/18
13/01/18,14/01/18
14/01/18,15/01/18
20/01/18,21/01/18
21/01/18,22/01/18
27/01/18,28/01/18
28/01/18,29/01/18
03/02/18,04/02/18
04/02/18,05/02/18
10/02/18,11/02/18
11/02/18,12/02/18
17/02/18,18/02/18
18/02/18,19/02/18
24/02/18,25/02/18
25/02/18,26/02/18
03/03/18,04/03/18
04/03/18,05/03/18
10/03/18,11/03/18
11/03/18,12/03/18
17/03/18,18/03/18
18/03/18,19/03/18
19/03/18,20/03/18
24/03/18,25/03/18
25/03/18,26/03/18
29/03/18,30/03/18
30/03/18,31/03/18
31/03/18,01/04/18
01/04/18,02/04/18
07/04/18,08/04/18
08/04/18,09/04/18
14/04/18,15/04/18
15/04/18,16/04/18
21/04/18,22/04/18
22/04/18,23/04/18
28/04/18,29/04/18
29/04/18,30/04/18
01/05/18,02/05/18
05/05/18,06/05/18
06/05/18,07/05/18
12/05/18,13/05/18
13/05/18,14/05/18
14/05/18,15/05/18
19/05/18,20/05/18
20/05/18,21/05/18
26/05/18,27/05/18
27/05/18,28/05/18
02/06/18,03/06/18
03/06/18,04/06/18
04/06/18,05/06/18
09/06/18,10/06/18
10/06/18,11/06/18
11/06/18,12/06/18
16/06/18,17/06/18
17/06/18,18/06/18
23/06/18,24/06/18
24/06/18,25/06/18
30/06/18,01/07/18
01/07/18,02/07/18
07/07/18,08/07/18
08/07/18,09/07/18
14/07/18,15/07/18
15/07/18,16/07/18
20/07/18,21/07/18
21/07/18,22/07/18
22/07/18,23/07/18
28/07/18,29/07/18
29/07/18,30/07/18
04/08/18,05/08/18
05/08/18,06/08/18
07/08/18,08/08/18
11/08/18,12/08/18
12/08/18,13/08/18
18/08/18,19/08/18
19/08/18,20/08/18
20/08/18,21/08/18
25/08/18,26/08/18
26/08/18,27/08/18
01/09/18,02/09/18
02/09/18,03/09/18
08/09/18,09/09/18
09/09/18,10/09/18
15/09/18,16/09/18
16/09/18,17/09/18
22/09/18,23/09/18
23/09/18,24/09/18
29/09/18,30/09/18
30/09/18,01/10/18
06/10/18,07/10/18
07/10/18,08/10/18
13/10/18,14/10/18
14/10/18,15/10/18
15/10/18,16/10/18
20/10/18,21/10/18
21/10/18,22/10/18
27/10/18,28/10/18
28/10/18,29/10/18
03/11/18,04/11/18
04/11/18,05/11/18
05/11/18,06/11/18
10/11/18,11/11/18
11/11/18,12/11/18
12/11/18,13/11/18
17/11/18,18/11/18
18/11/18,19/11/18
24/11/18,25/11/18
25/11/18,26/11/18
01/12/18,02/12/18
02/12/18,03/12/18
08/12/18,09/12/18
09/12/18,10/12/18
15/12/18,16/12/18
16/12/18,17/12/18
22/12/18,23/12/18
23/12/18,24/12/18
25/12/18,26/12/18
30/12/18,31/12/18